root - ERROR - Missing name in clients.csv row: {'client_number': '1011', 'first_name': '', 'last_name': 'Jeffries', 'email_address': 'jeffries@pixell.com'}


root - ERROR - Error parsing account row {'account_number': '20001', 'client_number': '1001', 'balance': '15000', 'date_created': '2023-01-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-50', 'overdraft_rate': '0.035', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given
root - ERROR - Error parsing account row {'account_number': '20012', 'client_number': '1006', 'balance': '29000', 'date_created': '2023-06-05', 'account_type': 'ChequingAccount', 'overdraft_limit': '-100', 'overdraft_rate': '0.025', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20014', 'client_number': '1007', 'balance': '5436.09', 'date_created': '2023-07-20', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20015', 'client_number': '1008', 'balance': '21000', 'date_created': '2023-08-15', 'account_type': 'ChequingAccount', 'overdraft_limit': '-75', 'overdraft_rate': '0.035', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20017', 'client_number': '1009', 'balance': '11223.8', 'date_created': '2023-09-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20018', 'client_number': '1009', 'balance': '31000', 'date_created': '2023-09-15', 'account_type': 'ChequingAccount', 'overdraft_limit': '-50', 'overdraft_rate': '0.025', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20020', 'client_number': '1010', 'balance': '4109.99', 'date_created': '2023-10-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20021', 'client_number': '1006', 'balance': '10850.23', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-329', 'overdraft_rate': '0.034', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20023', 'client_number': '1010', 'balance': '790.97', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '42', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20024', 'client_number': '1004', 'balance': '23491.44', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-774', 'overdraft_rate': '0.097', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20026', 'client_number': '1003', 'balance': '20614.22', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '28', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20027', 'client_number': '1009', 'balance': '17612.34', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-320', 'overdraft_rate': '0.053', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20029', 'client_number': '1007', 'balance': '1702.34', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '66', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20030', 'client_number': '1001', 'balance': '2890.89', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-503', 'overdraft_rate': '0.028', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20032', 'client_number': '1005', 'balance': '2891.08', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '76', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20033', 'client_number': '1004', 'balance': '19391.12', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-271', 'overdraft_rate': '0.086', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20035', 'client_number': '1003', 'balance': '278.67', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '17', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20036', 'client_number': '1008', 'balance': '19929.13', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-189', 'overdraft_rate': '0.012', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20038', 'client_number': '1006', 'balance': '8493.23', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '84', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20039', 'client_number': '1009', 'balance': '29820.99', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-990', 'overdraft_rate': '0.041', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20041', 'client_number': '1007', 'balance': '14735.64', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '37', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20042', 'client_number': '1005', 'balance': '10456.11', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-143', 'overdraft_rate': '0.073', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20044', 'client_number': '1003', 'balance': '15563.45', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '95', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20045', 'client_number': '1008', 'balance': '5678.99', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-818', 'overdraft_rate': '0.066', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20047', 'client_number': '1006', 'balance': '23687.56', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '61', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20048', 'client_number': '1009', 'balance': '24422.55', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-432', 'overdraft_rate': '0.021', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20050', 'client_number': '1007', 'balance': '12943.98', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '20', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20051', 'client_number': '1001', 'balance': '26812.07', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-57', 'overdraft_rate': '0.074', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20053', 'client_number': '1004', 'balance': '5927.85', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '43', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20054', 'client_number': '1003', 'balance': '24791.16', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-1000', 'overdraft_rate': '0.065', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20056', 'client_number': '1010', 'balance': '10543.75', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '11', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20057', 'client_number': '1006', 'balance': '20356.99', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-637', 'overdraft_rate': '0.048', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20059', 'client_number': '1002', 'balance': '3372.45', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '53', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20060', 'client_number': '1007', 'balance': '23976.32', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-869', 'overdraft_rate': '0.033', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20062', 'client_number': '1005', 'balance': '19385.23', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '89', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20063', 'client_number': '1004', 'balance': '26129.88', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-526', 'overdraft_rate': '0.089', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20065', 'client_number': '1008', 'balance': '22104.54', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '78', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20066', 'client_number': '1010', 'balance': '7859.32', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-100', 'overdraft_rate': '0.053', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20068', 'client_number': '1009', 'balance': '4537.11', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '24', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20069', 'client_number': '1002', 'balance': '27136.88', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-403', 'overdraft_rate': '0.012', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20071', 'client_number': '1001', 'balance': '12090.53', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '48', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20072', 'client_number': '1005', 'balance': '12253.99', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-942', 'overdraft_rate': '0.086', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20074', 'client_number': '1003', 'balance': '4892.57', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '12', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20075', 'client_number': '1008', 'balance': '25194.85', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-215', 'overdraft_rate': '0.021', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20077', 'client_number': '1006', 'balance': '7563.55', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '34', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20078', 'client_number': '1009', 'balance': '10347.22', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-612', 'overdraft_rate': '0.056', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20080', 'client_number': '1007', 'balance': '6823.39', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '62', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20081', 'client_number': '1001', 'balance': '19348.66', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-370', 'overdraft_rate': '0.017', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20083', 'client_number': '1004', 'balance': '12039.55', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '38', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20084', 'client_number': '1003', 'balance': '15792.33', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-777', 'overdraft_rate': '0.073', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20086', 'client_number': '1010', 'balance': '23847.91', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '3', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20087', 'client_number': '1006', 'balance': '24678.21', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-654', 'overdraft_rate': '0.035', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20089', 'client_number': '1002', 'balance': '14758.66', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '47', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20090', 'client_number': '1007', 'balance': '16293.34', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-492', 'overdraft_rate': '0.022', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20092', 'client_number': '1005', 'balance': '8427.66', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '79', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20093', 'client_number': '1004', 'balance': '6278.22', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-839', 'overdraft_rate': '0.054', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Error parsing account row {'account_number': '20095', 'client_number': '1008', 'balance': '19658.75', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '53', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20096', 'client_number': '1010', 'balance': '17746.29', 'date_created': '2023-10-10', 'account_type': 'ChequingAccount', 'overdraft_limit': '-101', 'overdraft_rate': '0.021', 'minimum_balance': 'Null', 'management_fee': 'Null'}: ChequingAccount.__init__() takes from 4 to 6 positional arguments but 7 were given


root - ERROR - Invalid balance: {'account_number': '20097', 'client_number': '1009', 'balance': 'ten', 'date_created': '2023-09-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}


root - ERROR - Invalid date format: {'account_number': '20098', 'client_number': '1009', 'balance': '31000', 'date_created': '20230915', 'account_type': 'ChequingAccount', 'overdraft_limit': '-50', 'overdraft_rate': '0.025', 'minimum_balance': 'Null', 'management_fee': 'Null'}


root - ERROR - Invalid account type: {'account_number': '20099', 'client_number': '1010', 'balance': '6764.67', 'date_created': '2023-10-01', 'account_type': 'InvestmentAccoun', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3'}


root - ERROR - Account with client_number not found: {'account_number': '20100', 'client_number': '9999', 'balance': '4109.99', 'date_created': '2023-10-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}


root - ERROR - Missing name in clients.csv row: {'client_number': '1011', 'first_name': '', 'last_name': 'Jeffries', 'email_address': 'jeffries@pixell.com'}


root - ERROR - Error parsing account row {'account_number': '20002', 'client_number': '1001', 'balance': '301.54', 'date_created': '2023-01-15', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '22222', 'client_number': '1001', 'balance': '434.33', 'date_created': '2023-05-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20004', 'client_number': '1002', 'balance': '4500.87', 'date_created': '2023-02-05', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20005', 'client_number': '1003', 'balance': '3456.65', 'date_created': '2023-03-12', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20007', 'client_number': '1004', 'balance': '22000', 'date_created': '2023-04-15', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20008', 'client_number': '1004', 'balance': '7699.9', 'date_created': '2023-04-18', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20010', 'client_number': '1005', 'balance': '32000', 'date_created': '2023-05-15', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.65'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20011', 'client_number': '1006', 'balance': '11665.8', 'date_created': '2023-06-01', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20013', 'client_number': '1007', 'balance': '17000', 'date_created': '2023-07-12', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '2'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20014', 'client_number': '1007', 'balance': '5436.09', 'date_created': '2023-07-20', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20016', 'client_number': '1008', 'balance': '7522.9', 'date_created': '2023-08-18', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20017', 'client_number': '1009', 'balance': '11223.8', 'date_created': '2023-09-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20019', 'client_number': '1010', 'balance': '6764.67', 'date_created': '2023-10-01', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3'}: name 'interest_rate' is not defined


