root - ERROR - Missing name in clients.csv row: {'client_number': '1011', 'first_name': '', 'last_name': 'Jeffries', 'email_address': 'jeffries@pixell.com'}


root - ERROR - Error parsing account row {'account_number': '20002', 'client_number': '1001', 'balance': '301.54', 'date_created': '2023-01-15', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'
root - ERROR - Error parsing account row {'account_number': '20014', 'client_number': '1007', 'balance': '5436.09', 'date_created': '2023-07-20', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20016', 'client_number': '1008', 'balance': '7522.9', 'date_created': '2023-08-18', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20017', 'client_number': '1009', 'balance': '11223.8', 'date_created': '2023-09-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20019', 'client_number': '1010', 'balance': '6764.67', 'date_created': '2023-10-01', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20020', 'client_number': '1010', 'balance': '4109.99', 'date_created': '2023-10-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20022', 'client_number': '1008', 'balance': '21874.45', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '1.28'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20023', 'client_number': '1010', 'balance': '790.97', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '42', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20025', 'client_number': '1005', 'balance': '26398.17', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.49'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20026', 'client_number': '1003', 'balance': '20614.22', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '28', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20028', 'client_number': '1002', 'balance': '4312.58', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '4.45'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20029', 'client_number': '1007', 'balance': '1702.34', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '66', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20031', 'client_number': '1007', 'balance': '7532.32', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '0.97'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20032', 'client_number': '1005', 'balance': '2891.08', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '76', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20034', 'client_number': '1002', 'balance': '25094.55', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5.12'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20035', 'client_number': '1003', 'balance': '278.67', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '17', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20037', 'client_number': '1010', 'balance': '5362.76', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5.55'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20038', 'client_number': '1006', 'balance': '8493.23', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '84', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20040', 'client_number': '1001', 'balance': '18645.22', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '2.65'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20041', 'client_number': '1007', 'balance': '14735.64', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '37', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20043', 'client_number': '1004', 'balance': '9502.33', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '1.78'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20044', 'client_number': '1003', 'balance': '15563.45', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '95', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20046', 'client_number': '1010', 'balance': '12076.43', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '4.31'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20047', 'client_number': '1006', 'balance': '23687.56', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '61', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20049', 'client_number': '1002', 'balance': '29517.89', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5.88'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20050', 'client_number': '1007', 'balance': '12943.98', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '20', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20052', 'client_number': '1005', 'balance': '13502.48', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '0.35'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20053', 'client_number': '1004', 'balance': '5927.85', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '43', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20055', 'client_number': '1008', 'balance': '15877.22', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.07'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20056', 'client_number': '1010', 'balance': '10543.75', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '11', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20058', 'client_number': '1009', 'balance': '22257.34', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '2.98'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20059', 'client_number': '1002', 'balance': '3372.45', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '53', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20061', 'client_number': '1001', 'balance': '8271.66', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5.67'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20062', 'client_number': '1005', 'balance': '19385.23', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '89', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20064', 'client_number': '1003', 'balance': '312.89', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '1.15'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20065', 'client_number': '1008', 'balance': '22104.54', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '78', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20067', 'client_number': '1006', 'balance': '24197.21', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '4.92'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20068', 'client_number': '1009', 'balance': '4537.11', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '24', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20070', 'client_number': '1007', 'balance': '1882.47', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '0.41'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20071', 'client_number': '1001', 'balance': '12090.53', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '48', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20073', 'client_number': '1004', 'balance': '21876.22', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.39'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20074', 'client_number': '1003', 'balance': '4892.57', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '12', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20076', 'client_number': '1010', 'balance': '16493.42', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '1.95'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20077', 'client_number': '1006', 'balance': '7563.55', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '34', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20079', 'client_number': '1002', 'balance': '10543.58', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5.42'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20080', 'client_number': '1007', 'balance': '6823.39', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '62', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20082', 'client_number': '1005', 'balance': '9425.88', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '2.73'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20083', 'client_number': '1004', 'balance': '12039.55', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '38', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20085', 'client_number': '1008', 'balance': '4728.76', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '0.56'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20086', 'client_number': '1010', 'balance': '23847.91', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '3', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20088', 'client_number': '1009', 'balance': '32219', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '4.05'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20089', 'client_number': '1002', 'balance': '14758.66', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '47', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20091', 'client_number': '1001', 'balance': '13156.77', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.29'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20092', 'client_number': '1005', 'balance': '8427.66', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '79', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20094', 'client_number': '1003', 'balance': '13214.33', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '4.67'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20095', 'client_number': '1008', 'balance': '19658.75', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '53', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Invalid balance: {'account_number': '20097', 'client_number': '1009', 'balance': 'ten', 'date_created': '2023-09-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}


root - ERROR - Invalid date format: {'account_number': '20098', 'client_number': '1009', 'balance': '31000', 'date_created': '20230915', 'account_type': 'ChequingAccount', 'overdraft_limit': '-50', 'overdraft_rate': '0.025', 'minimum_balance': 'Null', 'management_fee': 'Null'}


root - ERROR - Invalid account type: {'account_number': '20099', 'client_number': '1010', 'balance': '6764.67', 'date_created': '2023-10-01', 'account_type': 'InvestmentAccoun', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3'}


root - ERROR - Account with client_number not found: {'account_number': '20100', 'client_number': '9999', 'balance': '4109.99', 'date_created': '2023-10-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}


root - ERROR - Missing name in clients.csv row: {'client_number': '1011', 'first_name': '', 'last_name': 'Jeffries', 'email_address': 'jeffries@pixell.com'}


root - ERROR - Error parsing account row {'account_number': '20002', 'client_number': '1001', 'balance': '301.54', 'date_created': '2023-01-15', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '22222', 'client_number': '1001', 'balance': '434.33', 'date_created': '2023-05-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20004', 'client_number': '1002', 'balance': '4500.87', 'date_created': '2023-02-05', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20005', 'client_number': '1003', 'balance': '3456.65', 'date_created': '2023-03-12', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20007', 'client_number': '1004', 'balance': '22000', 'date_created': '2023-04-15', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20008', 'client_number': '1004', 'balance': '7699.9', 'date_created': '2023-04-18', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20010', 'client_number': '1005', 'balance': '32000', 'date_created': '2023-05-15', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.65'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20011', 'client_number': '1006', 'balance': '11665.8', 'date_created': '2023-06-01', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20013', 'client_number': '1007', 'balance': '17000', 'date_created': '2023-07-12', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '2'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20014', 'client_number': '1007', 'balance': '5436.09', 'date_created': '2023-07-20', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '150', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20016', 'client_number': '1008', 'balance': '7522.9', 'date_created': '2023-08-18', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '5'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20017', 'client_number': '1009', 'balance': '11223.8', 'date_created': '2023-09-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '50', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20019', 'client_number': '1010', 'balance': '6764.67', 'date_created': '2023-10-01', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20020', 'client_number': '1010', 'balance': '4109.99', 'date_created': '2023-10-05', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '100', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20022', 'client_number': '1008', 'balance': '21874.45', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '1.28'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20023', 'client_number': '1010', 'balance': '790.97', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '42', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


root - ERROR - Error parsing account row {'account_number': '20025', 'client_number': '1005', 'balance': '26398.17', 'date_created': '2023-10-10', 'account_type': 'InvestmentAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': 'Null', 'management_fee': '3.49'}: name 'interest_rate' is not defined


root - ERROR - Error parsing account row {'account_number': '20026', 'client_number': '1003', 'balance': '20614.22', 'date_created': '2023-10-10', 'account_type': 'SavingsAccount', 'overdraft_limit': 'Null', 'overdraft_rate': 'Null', 'minimum_balance': '28', 'management_fee': 'Null'}: SavingsAccount.__init__() missing 1 required positional argument: 'minimum_balance'


